broad_id,Compound,Compound_Category,target,Metadata_pert_id_dose,Metadata_mmoles_per_liter
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_3.33,3.3333
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_1.11,1.1111
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_10.0,10.0
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_3.33,3.3333
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_1.11,1.1111
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_10.0,10.0
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_3.33,3.3333
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_1.11,1.1111
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_10.0,10.0
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_3.33,3.3333
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_1.11,1.1111
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_10.0,10.0
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_3.33,3.3333
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_1.11,1.1111
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_10.0,10.0
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_3.33,3.3333
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_1.11,1.1111
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_10.0,10.0
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_3.33,3.3333
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_1.11,1.1111
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_10.0,10.0
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_3.33,3.3333
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_1.11,1.1111
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_10.0,10.0
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_3.33,3.3333
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_10.0,10.0
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_3.33,3.3333
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_1.11,1.1111
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_10.0,10.0
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_3.33,3.3333
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_1.11,1.1111
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_10.0,10.0
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_3.33,3.3333
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_1.11,1.1111
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_10.0,10.0
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_3.33,3.3333
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_1.11,1.1111
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_10.0,10.0
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_3.33,3.3333
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_1.11,1.1111
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_10.0,10.0
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_3.33,3.3333
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_10.0,10.0
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_3.33,3.3333
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_1.11,1.1111
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_10.0,10.0
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_3.33,3.3333
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_1.11,1.1111
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_10.0,10.0
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_3.33,3.3333
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_1.11,1.1111
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_10.0,10.0
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_3.33,3.3333
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_1.11,1.1111
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_10.0,10.0
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_3.33,3.3333
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_1.11,1.1111
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_10.0,10.0
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_3.33,3.3333
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_1.11,1.1111
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_10.0,10.0
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_3.33,3.3333
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_1.11,1.1111
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_10.0,10.0
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_3.33,3.3333
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_1.11,1.1111
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_10.0,10.0
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_3.33,3.3333
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_1.11,1.1111
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_10.0,10.0
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_3.33,3.3333
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_1.11,1.1111
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_10.0,10.0
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_3.33,3.3333
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_1.11,1.1111
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_10.0,10.0
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_3.33,3.3333
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_1.11,1.1111
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_10.0,10.0
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_3.33,3.3333
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_10.0,10.0
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_3.33,3.3333
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_1.11,1.1111
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_10.0,10.0
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_3.33,3.3333
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_1.11,1.1111
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_10.0,10.0
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_3.33,3.3333
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_1.11,1.1111
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_10.0,10.0
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_3.33,3.3333
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_1.11,1.1111
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_10.0,10.0
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_3.33,3.3333
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_1.11,1.1111
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_10.0,10.0
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_3.33,3.3333
BRD-K99604664,tanaproget,progesterone receptor agonist,PGR,BRD-K99604664_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_10.0,10.0
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_3.33,3.3333
BRD-A97739905,ketoprofen,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,BRD-A97739905_1.11,1.1111
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_10.0,10.0
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_3.33,3.3333
BRD-K92303087,oglemilast,phosphodiesterase inhibitor,,BRD-K92303087_1.11,1.1111
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_10.0,10.0
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_3.33,3.3333
BRD-K93208532,apremilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,BRD-K93208532_1.11,1.1111
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_10.0,10.0
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_3.33,3.3333
BRD-A94543220,bifonazole,sterol demethylase inhibitor,,BRD-A94543220_1.11,1.1111
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_10.0,10.0
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_3.33,3.3333
BRD-K95773607,darifenacin,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,BRD-K95773607_1.11,1.1111
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_10.0,10.0
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_3.33,3.3333
BRD-K96615647,AV-608,tachykinin antagonist,TACR1,BRD-K96615647_1.11,1.1111
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_10.0,10.0
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_3.33,3.3333
BRD-K95880107,PH-797804,p38 MAPK inhibitor,MAPK11|MAPK14,BRD-K95880107_1.11,1.1111
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_10.0,10.0
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_3.33,3.3333
BRD-A96456596,FPL-55712,leukotriene receptor antagonist,,BRD-A96456596_1.11,1.1111
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_10.0,10.0
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_3.33,3.3333
BRD-A97104540,fenoterol,adrenergic receptor agonist,ADRB2,BRD-A97104540_1.11,1.1111
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_10.0,10.0
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_3.33,3.3333
BRD-K97181089,amiloride,sodium channel blocker,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,BRD-K97181089_1.11,1.1111
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_10.0,10.0
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_3.33,3.3333
BRD-K97564742,mepyramine,histamine receptor antagonist,HRH1,BRD-K97564742_1.11,1.1111
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_10.0,10.0
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_3.33,3.3333
BRD-K97158071,droperidol,dopamine receptor antagonist,ADRA1A|DRD2|DRD3|DRD4|HTR2A,BRD-K97158071_1.11,1.1111
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_10.0,10.0
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_3.33,3.3333
BRD-A97674275,ranolazine,sodium channel blocker,SCN10A|SCN9A,BRD-A97674275_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_10.0,10.0
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_3.33,3.3333
BRD-K97309399,thiothixene,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,BRD-K97309399_1.11,1.1111
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_10.0,10.0
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_3.33,3.3333
BRD-K93461745,buspirone,serotonin receptor agonist,DRD2|HTR1A,BRD-K93461745_1.11,1.1111
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_10.0,10.0
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_3.33,3.3333
BRD-A95939040,sertaconazole,sterol demethylase inhibitor,,BRD-A95939040_1.11,1.1111
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_10.0,10.0
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_3.33,3.3333
BRD-K98572433,AZD8931,EGFR inhibitor,EGFR|ERBB2|ERBB3,BRD-K98572433_1.11,1.1111
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_10.0,10.0
BRD-K90825648,RS-127445,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,BRD-K90825648_3.33,3.3333
