broad_id,Compound,Compound_Category,target,Metadata_pert_id_dose,Metadata_mmoles_per_liter
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-A79981887,midodrine,adrenergic receptor agonist,,BRD-A79981887_10.0,10.0
BRD-A79981887,midodrine,adrenergic receptor agonist,,BRD-A79981887_3.33,3.3333
BRD-A79981887,midodrine,adrenergic receptor agonist,,BRD-A79981887_1.11,1.1111
BRD-K73381542,phenylephrine,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,BRD-K73381542_10.0,10.0
BRD-K73381542,phenylephrine,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,BRD-K73381542_3.33,3.3333
BRD-K73381542,phenylephrine,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,BRD-K73381542_1.11,1.1111
BRD-K79131256,albendazole,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,BRD-K79131256_10.0,10.0
BRD-K79131256,albendazole,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,BRD-K79131256_3.33,3.3333
BRD-K79131256,albendazole,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,BRD-K79131256_1.11,1.1111
BRD-K79989959,nesbuvir,RNA polymerase inhibitor,,BRD-K79989959_10.0,10.0
BRD-K79989959,nesbuvir,RNA polymerase inhibitor,,BRD-K79989959_3.33,3.3333
BRD-K79989959,nesbuvir,RNA polymerase inhibitor,,BRD-K79989959_1.11,1.1111
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_10.0,10.0
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_3.33,3.3333
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_1.11,1.1111
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_10.0,10.0
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_3.33,3.3333
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_1.11,1.1111
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_10.0,10.0
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_3.33,3.3333
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_1.11,1.1111
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_10.0,10.0
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_3.33,3.3333
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_10.0,10.0
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_3.33,3.3333
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_1.11,1.1111
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_10.0,10.0
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_3.33,3.3333
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_1.11,1.1111
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_10.0,10.0
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_3.33,3.3333
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_1.11,1.1111
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_10.0,10.0
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_3.33,3.3333
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_1.11,1.1111
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_10.0,10.0
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_3.33,3.3333
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_10.0,10.0
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_3.33,3.3333
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_1.11,1.1111
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_10.0,10.0
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_3.33,3.3333
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_1.11,1.1111
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_10.0,10.0
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_3.33,3.3333
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_1.11,1.1111
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_10.0,10.0
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_3.33,3.3333
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_10.0,10.0
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_3.33,3.3333
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_1.11,1.1111
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_10.0,10.0
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_3.33,3.3333
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_1.11,1.1111
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_10.0,10.0
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_3.33,3.3333
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_1.11,1.1111
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_10.0,10.0
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_3.33,3.3333
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_1.11,1.1111
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_10.0,10.0
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_3.33,3.3333
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_10.0,10.0
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_3.33,3.3333
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_1.11,1.1111
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_10.0,10.0
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_3.33,3.3333
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_1.11,1.1111
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_10.0,10.0
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_3.33,3.3333
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_1.11,1.1111
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_10.0,10.0
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_3.33,3.3333
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_10.0,10.0
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_3.33,3.3333
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_1.11,1.1111
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_10.0,10.0
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_3.33,3.3333
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_1.11,1.1111
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_10.0,10.0
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_3.33,3.3333
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_1.11,1.1111
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_10.0,10.0
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_3.33,3.3333
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_1.11,1.1111
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_10.0,10.0
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_3.33,3.3333
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_10.0,10.0
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_3.33,3.3333
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_1.11,1.1111
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_10.0,10.0
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_3.33,3.3333
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_1.11,1.1111
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_10.0,10.0
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_3.33,3.3333
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_1.11,1.1111
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_10.0,10.0
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_3.33,3.3333
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_10.0,10.0
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_3.33,3.3333
BRD-K49215523,GSK2636771,PI3K inhibitor,PIK3CB,BRD-K49215523_1.11,1.1111
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_10.0,10.0
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_3.33,3.3333
BRD-K49685476,TTNPB,retinoid receptor agonist,RARA|RARB|RARG,BRD-K49685476_1.11,1.1111
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_10.0,10.0
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_3.33,3.3333
BRD-K49865102,PD-0325901,MEK inhibitor,MAP2K1,BRD-K49865102_1.11,1.1111
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_10.0,10.0
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_3.33,3.3333
BRD-K49671696,ketanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2,BRD-K49671696_1.11,1.1111
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_10.0,10.0
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_3.33,3.3333
BRD-A49765801,fludroxycortide,glucocorticoid receptor agonist,NR3C1|SERPINA6,BRD-A49765801_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_10.0,10.0
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_3.33,3.3333
BRD-K44844162,taselisib,PI3K inhibitor,PIK3CA,BRD-K44844162_1.11,1.1111
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_10.0,10.0
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_3.33,3.3333
BRD-K46692793,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,BRD-K46692793_1.11,1.1111
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_10.0,10.0
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_3.33,3.3333
BRD-K47639036,flavoxate,acetylcholine receptor antagonist,CHRM1|CHRM2,BRD-K47639036_1.11,1.1111
BRD-K48461310,fosfomycin,bacterial cell wall synthesis inhibitor,,BRD-K48461310_10.0,10.0
